Time,CA0,CA1,CA2
0,1,0.846106015,0.720184055
5,1,0.863579473,0.710270077
10,1,0.844790038,0.69201559
15,1,0.865596124,0.739124233
20,1,0.852368748,0.716264631
25,1,0.857011734,0.711904352
30,1,0.853832697,0.74803496
35,1,0.835953307,0.718305118
40,1,0.850662941,0.71129377
45,1,0.844084759,0.725100514
50,1,0.825337634,0.717073659
55,1,0.837214965,0.714263779
60,1,0.846291007,0.724823539
65,1,0.838498865,0.739307401
70,1,0.857838578,0.709522566
75,1,0.863198128,0.725941082
80,1,0.844057324,0.725584628
85,1,0.860417083,0.715674233
90,1,0.837488937,0.727296298
95,1,0.851234018,0.728702042
100,1,0.855371694,0.715844009
105,1,0.856141581,0.728090672
110,1,0.852859358,0.710438615
115,1,0.840399189,0.740463641
120,1,0.851842194,0.725102403
125,1,0.84217319,0.72191285
130,1,0.857639581,0.718933009
135,1,0.848724212,0.722033448
140,1,0.849959826,0.723927999
145,1,0.848836667,0.733966932
150,1,0.846925344,0.715625748
155,1,0.833394139,0.728511099
160,1,0.844931257,0.717586217
165,1,0.843330823,0.717189299
170,1,0.842888255,0.721681523
175,1,0.838981329,0.712759701
180,1,0.855474651,0.712471015
185,1,0.871013544,0.718512213
190,0.661779479,0.827195437,0.738064134
195,0.661779479,0.791150689,0.724197523
200,0.661779479,0.757603471,0.709368619
205,0.661779479,0.733774173,0.718539789
210,0.661779479,0.731818703,0.698053532
215,0.661779479,0.705799059,0.694841705
220,0.661779479,0.691172411,0.678510479
225,0.661779479,0.691433902,0.680204511
230,0.661779479,0.672673037,0.675380901
235,0.661779479,0.64580638,0.660037529
240,0.661779479,0.641577795,0.635680541
245,0.661779479,0.622964598,0.630640366
250,0.661779479,0.638337067,0.618644678
255,0.661779479,0.614883222,0.596377507
260,0.661779479,0.62148284,0.592052014
265,0.661779479,0.611645205,0.579593287
270,0.661779479,0.590508371,0.593146973
275,0.661779479,0.594182081,0.561707816
280,0.661779479,0.604137052,0.581479325
285,0.661779479,0.576894022,0.553898854
290,0.661779479,0.61005578,0.553455911
295,0.661779479,0.582129017,0.53990595
300,0.661779479,0.598247345,0.539147074
305,0.661779479,0.588930733,0.545766912
310,0.661779479,0.598987829,0.541282705
315,0.367339086,0.563286422,0.526669328
320,0.367339086,0.534450429,0.517616203
325,0.367339086,0.501564134,0.527103236
330,0.535560473,0.48803343,0.497644343
335,0.535560473,0.49555713,0.501547158
340,0.535560473,0.493483455,0.483741099
345,0.535560473,0.491208206,0.506825775
350,0.535560473,0.490792864,0.484514507
355,0.535560473,0.497539782,0.458358024
360,0.535560473,0.471390293,0.456929066
365,0.535560473,0.490519414,0.459388092
370,0.535560473,0.4729015,0.455554409
375,0.535560473,0.478994889,0.445414965
380,0.535560473,0.48051984,0.432656563
385,0.535560473,0.470487468,0.423818594
390,0.535560473,0.456957289,0.436072145
395,0.535560473,0.445436834,0.425769486
400,0.535560473,0.470270226,0.436515855
405,0.535560473,0.462432015,0.417966708
410,0.535560473,0.44175388,0.42665544
415,0.535560473,0.462633807,0.414953835
420,0.535560473,0.457433344,0.39643408
425,0.535560473,0.464156481,0.396074918
430,0.535560473,0.47478688,0.409743633
435,0.535560473,0.448770179,0.403849171
440,0.535560473,0.478162069,0.392726693
445,0.535560473,0.470699119,0.412574354
450,0.535560473,0.459913441,0.406934354
455,0.515974904,0.437884271,0.415230757
460,0.515974904,0.436380947,0.392272121
465,0.515974904,0.464147769,0.388587039
470,0.515974904,0.443178314,0.402854036
475,0.515974904,0.4521511,0.40087316
480,0.515974904,0.449850983,0.397964762
485,0.515974904,0.431775407,0.396752072
490,0.515974904,0.426932935,0.376155098
495,0.515974904,0.443109821,0.390500942
500,0.515974904,0.440170808,0.390097512
505,0.515974904,0.439478354,0.387289389
510,0.515974904,0.431999123,0.379281852
515,0.851087198,0.448014065,0.381902079
520,0.851087198,0.479431487,0.380120938
525,0.851087198,0.531478105,0.392777272
530,0.851087198,0.52221976,0.405735877
535,0.851087198,0.559187904,0.382223259
540,0.851087198,0.577225252,0.408746121
545,0.851087198,0.587670542,0.428844019
550,0.851087198,0.602413002,0.437200847
555,0.851087198,0.617818757,0.458308123
560,0.851087198,0.636415587,0.453577981
565,0.851087198,0.648075649,0.456919071
570,0.851087198,0.643564866,0.472959155
575,0.851087198,0.656703344,0.455685038
580,0.851087198,0.681793355,0.493102579
585,0.851087198,0.661704861,0.509222536
590,0.851087198,0.684450917,0.505969416
595,0.851087198,0.684235612,0.514182864
600,0.851087198,0.673934932,0.534429485
605,0.851087198,0.686354964,0.52907392
610,0.851087198,0.701016203,0.538337441
615,0.552841313,0.692522431,0.521148263
620,0.552841313,0.642922338,0.532701297
625,0.552841313,0.64276062,0.54093727
630,0.552841313,0.612703455,0.536198273
635,0.552841313,0.597509932,0.536907372
640,0.552841313,0.582423726,0.55252346
645,0.552841313,0.5641014,0.533057072
650,0.552841313,0.541164386,0.505598479
655,0.552841313,0.545230882,0.520925978
660,0.552841313,0.52286245,0.526417799
665,0.552841313,0.552784602,0.523012698
670,0.552841313,0.520852763,0.487441814
675,0.447952379,0.510518831,0.482838086
680,0.447952379,0.488060123,0.467517726
685,0.447952379,0.478626886,0.486261826
690,0.447952379,0.472842272,0.462054748
695,0.447952379,0.47123009,0.471454484
700,0.447952379,0.441678931,0.463565773
705,0.447952379,0.440187621,0.441540746
710,0.447952379,0.438547522,0.44800042
715,0.447952379,0.438518649,0.440383565
720,0.447952379,0.431260769,0.441119449
725,0.447952379,0.416709541,0.420285253
730,0.447952379,0.407430134,0.41233395
735,0.447952379,0.423020208,0.402928371
740,0.447952379,0.415925235,0.398511683
745,0.447952379,0.411222347,0.387414982
750,0.447952379,0.402281455,0.393419974
755,0.447952379,0.390003149,0.407704472
760,0.447952379,0.419061077,0.384282288
765,0.447952379,0.40472853,0.373679034
770,0.447952379,0.399601434,0.382508504
775,0.447952379,0.391078308,0.365817391
780,0.447952379,0.395490624,0.374073863
785,0.447952379,0.38096398,0.367708541
790,0.447952379,0.386519342,0.369220942
795,0.447952379,0.38386366,0.344553643
800,0.447952379,0.38981145,0.363601646
805,0.447952379,0.394672364,0.352258381
810,0.447952379,0.390985731,0.33217876
815,0.447952379,0.374234785,0.358748485
820,0.447952379,0.383461243,0.349490392
825,0.447952379,0.386861158,0.335906622
830,0.447952379,0.377216868,0.344881243
835,0.447952379,0.396338658,0.338827485
840,0.447952379,0.386370018,0.324636808
845,0.447952379,0.393751715,0.335964823
850,0.447952379,0.378385375,0.322043436
855,0.447952379,0.384932447,0.327542768
860,0.447952379,0.387474142,0.33687394
865,0.447952379,0.385978347,0.345634846
870,0.447952379,0.383119999,0.32679049
875,0.447952379,0.382364682,0.339536535
880,0.447952379,0.385157262,0.336359658
885,0.447952379,0.385027762,0.327134482
890,0.447952379,0.381596515,0.326162345
895,0.447952379,0.374212915,0.321231153
900,0.447952379,0.366241406,0.315945462
905,0.447952379,0.383326524,0.326581559
910,0.447952379,0.367736946,0.327774769
915,0.447952379,0.381448324,0.326998626
920,0.447952379,0.372302301,0.343429681
925,0.447952379,0.396606176,0.350409484
930,0.447952379,0.367007872,0.342003705
935,0.447952379,0.383229089,0.322939916
940,0.447952379,0.377158561,0.33870189
945,0.447952379,0.382793368,0.323243666
950,0.447952379,0.368093092,0.325227764
955,0.447952379,0.387606458,0.337279566
960,0.447952379,0.379297558,0.321428837
965,0.447952379,0.403740992,0.338733171
970,0.447952379,0.379869502,0.324460944
975,0.447952379,0.374624488,0.327065719
980,0.447952379,0.36985316,0.324682688
985,0.447952379,0.386940657,0.334431389
990,0.447952379,0.381232315,0.334120978
995,0.447952379,0.371850628,0.33100126
1000,0.447952379,0.379472485,0.317816182
1005,0.447952379,0.371813732,0.325591347
1010,0.447952379,0.389312781,0.331677139
1015,0.447952379,0.375200857,0.31413631
1020,0.447952379,0.395913695,0.323282222
1025,0.447952379,0.390616706,0.324660195
1030,0.447952379,0.38804244,0.326402274
1035,0.806979363,0.374076736,0.324682591
1040,0.806979363,0.44432334,0.333029972
1045,0.806979363,0.478625292,0.336965582
1050,0.806979363,0.483502961,0.334138035
1055,0.806979363,0.502615444,0.340149604
1060,0.806979363,0.535635059,0.332743924
1065,0.806979363,0.565695013,0.3600106
1070,0.408618378,0.544282025,0.378817898
1075,0.408618378,0.528209126,0.393136265
1080,0.408618378,0.496937584,0.389668428
1085,0.408618378,0.45747653,0.390329856
1090,0.408618378,0.457934995,0.381191429
1095,0.408618378,0.453758598,0.404324651
1100,0.408618378,0.419163086,0.393153887
1105,0.408618378,0.417726289,0.381707957
1110,0.408618378,0.409784132,0.384225632
1115,0.408618378,0.401994332,0.389048644
1120,0.408618378,0.390259568,0.366859266
1125,0.408618378,0.389564551,0.383777595
1130,0.408618378,0.39509233,0.367460374
1135,0.408618378,0.387075233,0.351466418
1140,0.408618378,0.374167997,0.344162176
1145,0.408618378,0.375556229,0.367312328
1150,1,0.421831434,0.35500241
1155,1,0.468475806,0.367637019
1160,1,0.503972339,0.36974527
1165,1,0.562973518,0.370436391
1170,1,0.602534034,0.396786737
1175,1,0.625773891,0.399587678
1180,1,0.651807185,0.416161967
1185,1,0.674377108,0.420790463
1190,1,0.686000595,0.454243565
1195,1,0.715763345,0.474127086
